CollisionID,CollisionKey,Borough,RoadType,VehicleSequenceNumber,VehicleTypeCode,VehicleTypeDescription,ContributingFactorCode,ContributingFactorDescription,OccurrencePrecinctCode,Collision_ at_Location,Address,CollisionVehicleCount,CollisionInjuredCount,CollisionKilledCount,Vehicles_or_MotoristsInvolved,PersonsInjured,PersonsKilled,MotoristsInjured,MotoristsKilled,PassengInjured,PassengKilled,CyclistsInjured,CyclistsKilled,PedestrInjured,PedestrKilled,Injury_or_Fatal,Bicycle
2024121001215,294504973,statensland,H,1.0,SEDN,Passenger vehicle, , ,121,1.0,STATEN ISLAND EXP,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024121001215,294504973,statensland,H,2.0,,,17,Traffic control disregarded                                                     ,121,1.0,STATEN ISLAND EXP,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024121001308,295381494,statensland,H,1.0,SEDN,Passenger vehicle,04,Driver inattention/distraction                                                  ,121,1.0,STATEN ISLAND EXP,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024121001308,295381494,statensland,H,2.0,SEDN,Passenger vehicle, , ,121,1.0,STATEN ISLAND EXP,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024121001265,295566462,statensland,H,1.0,SUBN,Sport utility / station wagon,26,Other uninvolved vehicle                                                        ,121,1.0,STATEN ISLAND EXP,3.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024121001265,295566462,statensland,H,2.0,SUBN,Sport utility / station wagon, , ,121,1.0,STATEN ISLAND EXP,3.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024121001265,295566462,statensland,H,3.0,LCOM,Large com veh(6 or more tires), , ,121,1.0,STATEN ISLAND EXP,3.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024121001289,295181559,statensland,H,1.0,SEDN,Passenger vehicle,04,Driver inattention/distraction                                                  ,121,1.0,STATEN ISLAND EXP,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024121001289,295181559,statensland,H,2.0,BUS,Bus,04,Driver inattention/distraction                                                  ,121,1.0,STATEN ISLAND EXP,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024121001318,295910616,statensland,H,1.0,,,20,Unsafe lane changing                                                            ,121,2.0,STATEN ISLAND EXP,3.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024121001318,295910616,statensland,H,2.0,SUBN,Sport utility / station wagon, , ,121,2.0,STATEN ISLAND EXP,3.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024121001318,295910616,statensland,H,3.0,SEDN,Passenger vehicle, , ,121,2.0,STATEN ISLAND EXP,3.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024121001208,294703186,statensland,H,1.0,SUBN,Sport utility / station wagon, , ,121,1.0,STATEN ISLAND EXP,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024121001208,294703186,statensland,H,2.0,,,19,Unsafe speed                                                                    ,121,1.0,STATEN ISLAND EXP,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024121001213,294838761,statensland,H,1.0,PICK,Pick-up truck,09,Following too closely                                                           ,121,1.0,STATEN ISLAND EXP,4.0,2.0,0.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024121001213,294838761,statensland,H,2.0,SEDN,Passenger vehicle,09,Following too closely                                                           ,121,1.0,STATEN ISLAND EXP,4.0,2.0,0.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024121001213,294838761,statensland,H,3.0,SUBN,Sport utility / station wagon, , ,121,1.0,STATEN ISLAND EXP,4.0,2.0,0.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024121001213,294838761,statensland,H,4.0,SUBN,Sport utility / station wagon, , ,121,1.0,STATEN ISLAND EXP,4.0,2.0,0.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024121001212,294639228,statensland,H,1.0,SEDN,Passenger vehicle, , ,121,1.0,STATEN ISLAND EXP,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024121001212,294639228,statensland,H,2.0,LCOM,Large com veh(6 or more tires), , ,121,1.0,STATEN ISLAND EXP,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
