,CollisionID,CollisionKey,Borough,RoadType,VehicleSequenceNumber,VehicleTypeCode,VehicleTypeDescription,ContributingFactorCode,ContributingFactorDescription
74,2024115001502,295115454,queens,H,1.0,SEDN,Passenger vehicle,20,Unsafe lane changing                                                            
75,2024115001502,295115454,queens,H,2.0,VAN,Van,09,Following too closely                                                           
76,2024114001709,294756844,queens,H,1.0,SUBN,Sport utility / station wagon, , 
77,2024114001663,294271483,queens,H,1.0,SUBN,Sport utility / station wagon, , 
78,2024114001663,294271483,queens,H,2.0,SEDN,Passenger vehicle,09,Following too closely                                                           
79,2024114001786,295384156,queens,H,1.0,MCY,Motorcycle,05,Driver inexperience                                                             
80,2024108001342,294456389,queens,H,1.0,SUBN,Sport utility / station wagon, , 
81,2024108001342,294456389,queens,H,2.0,SCOM,Small com veh(4 tires),04,Driver inattention/distraction                                                  
82,2024108001375,294869933,queens,H,1.0,SEDN,Passenger vehicle, , 
83,2024108001375,294869933,queens,H,2.0,SEDN,Passenger vehicle,04,Driver inattention/distraction                                                  
84,2024108001340,294472167,queens,H,1.0,SEDN,Passenger vehicle, , 
85,2024108001340,294472167,queens,H,2.0,SEDN,Passenger vehicle,04,Driver inattention/distraction                                                  
86,2024108001453,295598811,queens,H,1.0,SEDN,Passenger vehicle,04,Driver inattention/distraction                                                  
87,2024108001453,295598811,queens,H,2.0,SUBN,Sport utility / station wagon,04,Driver inattention/distraction                                                  
88,2024114001814,295615582,queens,H,1.0,SEDN,Passenger vehicle, , 
