,OccurrencePrecinctCode,CollisionID,CollisionKey,Borough,RoadType,Collision_ at_Location,Address,CollisionVehicleCount,CollisionInjuredCount,CollisionKilledCount,Vehicles_or_MotoristsInvolved,PersonsInjured,PersonsKilled,MotoristsInjured,MotoristsKilled,PassengInjured,PassengKilled,CyclistsInjured,CyclistsKilled,PedestrInjured,PedestrKilled,Injury_or_Fatal,Bicycle
29,123,2024123000631,295244570,statensland,H,1.0,WEST SHORE EXP,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,102,2024102001154,294823895,queens,H,1.0,JACKIE ROBINSON PKY,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,102,2024102001191,295329220,queens,H,1.0,JACKIE ROBINSON PKY,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,102,2024102001152,294823893,queens,H,1.0,JACKIE ROBINSON PKY,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
33,102,2024102001185,295297959,queens,H,1.0,JACKIE ROBINSON PKY,3.0,3.0,0.0,3.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
34,102,2024102001188,295297962,queens,H,2.0,JACKIE ROBINSON PKY,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,102,2024102001215,295600477,queens,H,3.0,JACKIE ROBINSON PKY,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36,102,2024102001225,295729221,queens,H,4.0,JACKIE ROBINSON PKY,3.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
37,102,2024102001113,294274875,queens,H,1.0,JACKIE ROBINSON PKY,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,102,2024102001120,294548065,queens,H,1.0,JACKIE ROBINSON PKY,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,102,2024102001155,294867728,queens,H,1.0,JACKIE ROBINSON PKY,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
40,102,2024102001162,295014346,queens,H,1.0,JACKIE ROBINSON PKY,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,102,2024102001143,294756840,queens,H,1.0,JACKIE ROBINSON PKY,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,102,2024102001116,294265633,queens,H,1.0,JACKIE ROBINSON PKY,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,102,2024102001142,294756839,queens,H,2.0,JACKIE ROBINSON PKY,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,102,2024102001167,295057188,queens,H,3.0,JACKIE ROBINSON PKY,2.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
45,102,2024102001164,295057185,queens,H,1.0,VAN WYCK EXP,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
46,102,2024102001140,294756838,queens,H,1.0,VAN WYCK EXP,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
47,102,2024102001130,294650294,queens,H,1.0,VAN WYCK EXP,3.0,3.0,0.0,3.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
48,102,2024102001119,294490930,queens,H,1.0,VAN WYCK EXP,3.0,3.0,0.0,3.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
49,102,2024102001138,294697347,queens,H,1.0,VAN WYCK EXP,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50,102,2024102001180,295241178,queens,H,2.0,VAN WYCK EXP,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
51,102,2024102001146,294756841,queens,H,1.0,VAN WYCK EXP,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
52,102,2024102001183,295297958,queens,H,2.0,VAN WYCK EXP,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,102,2024102001222,295663157,queens,H,3.0,VAN WYCK EXP,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,102,2024102001218,295664479,queens,H,4.0,VAN WYCK EXP,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,102,2024102001195,295681031,queens,H,5.0,VAN WYCK EXP,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
56,103,2024103001288,295649470,queens,H,1.0,VAN WYCK EXP,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,104,2024104001289,294456382,queens,H,1.0,JACKIE ROBINSON PKY,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
58,104,2024104001425,295677764,queens,H,1.0,JACKIE ROBINSON PKY,2.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
59,104,2024104001342,294812200,queens,H,1.0,JACKIE ROBINSON PKY,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,104,2024104001388,295548516,queens,H,1.0,JACKIE ROBINSON PKY,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,104,2024104001312,294456387,queens,H,1.0,JACKIE ROBINSON PKY,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
62,104,2024104001394,295375270,queens,H,1.0,L.I.E.,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,104,2024104001321,294570017,queens,H,1.0,L.I.E.,2.0,3.0,0.0,2.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
64,104,2024104001349,295021803,queens,H,1.0,L.I.E.,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
65,104,2024104001307,294457410,queens,H,1.0,L.I.E.,3.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
66,104,2024104001308,294457411,queens,H,2.0,L.I.E.,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,105,2024105001962,294587636,queens,H,1.0,BELT PKY,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
68,105,2024105001933,294407551,queens,H,1.0,BELT PKY,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,105,2024105001937,294407555,queens,H,2.0,BELT PKY,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
70,105,2024105002006,294997775,queens,H,1.0,BELT PKY,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,105,2024105002032,295071408,queens,H,2.0,BELT PKY,2.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
72,105,2024105001925,294650304,queens,H,1.0,BELT PKY,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,105,2024105002018,294997784,queens,H,1.0,BELT PKY,3.0,2.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
74,105,2024105001931,294407549,queens,H,1.0,BELT PKY,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,105,2024105002117,295706011,queens,H,1.0,CROSS ISLAND PKY,3.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
76,105,2024105001928,294338239,queens,H,1.0,CROSS ISLAND PKY,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
77,105,2024105001993,294718798,queens,H,1.0,CROSS ISLAND PKY,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,105,2024105002013,294997780,queens,H,2.0,CROSS ISLAND PKY,3.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
79,105,2024105002110,295666944,queens,H,3.0,CROSS ISLAND PKY,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
80,105,2024105001959,294621244,queens,H,1.0,CROSS ISLAND PKY,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
81,105,2024105002060,295347776,queens,H,1.0,CROSS ISLAND PKY,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,105,2024105002111,295975187,queens,H,1.0,CROSS ISLAND PKY,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,105,2024105001940,294442993,queens,H,1.0,CROSS ISLAND PKY,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
84,105,2024105002000,294749397,queens,H,2.0,CROSS ISLAND PKY,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
85,105,2024105001917,294265634,queens,H,1.0,CROSS ISLAND PKY,2.0,6.0,0.0,2.0,6.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
86,105,2024105002063,295347778,queens,H,1.0,CROSS ISLAND PKY,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
87,105,2024105002002,294997772,queens,H,1.0,G.C.P.,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,105,2024105002105,295891485,queens,H,1.0,G.C.P.,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,105,2024105002020,295063826,queens,H,1.0,G.C.P.,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,105,2024105001945,294407559,queens,H,1.0,G.C.P.,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,105,2024105002046,295247825,queens,H,1.0,LAURELTON PKY,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,105,2024105001976,294578172,queens,H,1.0,LAURELTON PKY,3.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
93,105,2024105002027,295021806,queens,H,1.0,LAURELTON PKY,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,106,2024106001238,294838727,queens,H,1.0,BELT PKY,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
95,106,2024106001258,295061664,queens,H,2.0,BELT PKY,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,106,2024106001288,295297965,queens,H,3.0,BELT PKY,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,106,2024106001298,295548524,queens,H,4.0,BELT PKY,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
98,106,2024106001261,295065781,queens,H,1.0,BELT PKY,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
99,106,2024106001198,294454520,queens,H,1.0,BELT PKY,2.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100,106,2024106001216,294570019,queens,H,2.0,BELT PKY,3.0,2.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
101,106,2024106001267,295179574,queens,H,1.0,BELT PKY,3.0,2.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
102,106,2024106001323,295660007,queens,H,1.0,BELT PKY,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,106,2024106001324,295660008,queens,H,2.0,BELT PKY,3.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
104,106,2024106001245,294867295,queens,H,1.0,BELT PKY,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
105,106,2024106001242,294838731,queens,H,1.0,BELT PKY,2.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
106,106,2024106001285,295247827,queens,H,1.0,BELT PKY,3.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
107,106,2024106001269,295179576,queens,H,1.0,BELT PKY,5.0,2.0,0.0,5.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
108,106,2024106001279,295179584,queens,H,1.0,BELT PKY,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,106,2024106001331,295790889,queens,H,1.0,BELT PKY,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
110,106,2024106001196,294331443,queens,H,1.0,BELT PKY,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
111,106,2024106001201,294454523,queens,H,2.0,BELT PKY,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,106,2024106001320,295660390,queens,H,3.0,BELT PKY,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
113,106,2024106001248,295002375,queens,H,1.0,BELT PKY,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,106,2024106001193,294454519,queens,H,1.0,NASSAU EXP,2.0,3.0,0.0,2.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
115,106,2024106001275,295136342,queens,H,1.0,NASSAU EXP,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
116,106,2024106001224,294632846,queens,H,1.0,NASSAU EXP,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,107,2024107001484,295017918,queens,H,1.0,CLEARVIEW EXP,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,107,2024107001411,294213042,queens,H,1.0,G.C.P.,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
119,107,2024107001456,294722159,queens,H,1.0,G.C.P.,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
120,107,2024107001506,295171810,queens,H,1.0,G.C.P.,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,107,2024107001450,294697349,queens,H,1.0,G.C.P.,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
